date,startup,industry,subvertical,city,investors,investment_type,amount
14-06-2016,jivox,technology,Data Driven Advertising platform,Bengaluru,You & Mr Jones,Private Equity,6000000
14-06-2016,sminq,consumer internet,Queue management Mobile app,Pune,Saama Capital,Seed Funding,1000000
14-06-2016,curejoy,consumer internet,Online Alternative health community platform,Bengaluru,Accel Partners India,Private Equity,4400000
15-06-2016,oneway.cab,consumer internet,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed Funding,450000
16-06-2016,diro labs,consumer internet,Contact Management Mobile App,New Delhi,Info Edge (India) Ltd,Private Equity,450000
16-06-2016,unnati helpers,consumer internet,Help Hiring Platform,Gurugram,Info Edge (India) Ltd,Private Equity,600000
16-06-2016,voonik,ecommerce,Online Women's Fashion Marketplace,Bengaluru,Sequoia Capital,Private Equity,20000000
17-06-2016,cleartax,consumer internet,Online Tax Filing Platform,New Delhi,Ravi Adusumalli,Private Equity,12000000
17-06-2016,silvan innovation labs,technology,Home Automation Solutions,Bengaluru,Infuse Ventures,Private Equity,900000
17-06-2016,greythr,technology,Payroll & HR Software Developer,Bengaluru,New Enterprise Associates (NEA),Private Equity,5200000
21-06-2016,onspoon,consumer internet,Online Platform for Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding,150000
21-06-2016,celerix,technology,Fintech Product Development & Services Startup,Bengaluru,Bitkemy Ventures,Seed Funding,400000
21-06-2016,naturenama,consumer internet,Online Outdoors & travel,Mumbai,Unicorn Venture,Seed Funding,225000
21-06-2016,syona cosmetics,fmcg,Beauty Products & Training to Salons & Spas,Chennai,The Chennai Angels,Seed Funding,150000
21-06-2016,prettysecrets,ecommerce,Women Lingerie Store,Mumbai,RB Investments PTE Ltd,Private Equity,6000000
22-06-2016,spiderg,consumer internet,Online invoice app for SMEs,Pune,Rahul Kirloskar,Seed Funding,150000
23-06-2016,fareye,technology,Logistics Management Software,New Delhi,Saif Partners,Private Equity,3500000
23-06-2016,the uolo,consumer internet,School Parent Communication App,Bengaluru,Purvi Ventures,Seed Funding,210000
24-06-2016,drivify,consumer internet,Professional Driver discovery & Booking Mobile app,Mumbai,Jitendra Gupta,Seed Funding,50000
24-06-2016,parablu,technology,Cloud Data Security & Privacy Solutions,Bengaluru,Kalaari Capital,Seed Funding,500000
24-06-2016,schedulers logistics,logistics,Cold Storage Logistics solutions,Mumbai,GVFL,Private Equity,6000000
24-06-2016,leap india,others,Supply Chain Equipment & Services provider,Mumbai,Mayfield Ventures,Private Equity,3000000
24-06-2016,kabadiexpress,others,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed investor,Seed Funding,148000
